class_id,count
0,14848
1,12225
2,6927
3,4870
4,3483
5,3016
6,2293
8,1861
7,1742
11,1652
9,1595
10,1574
12,1065
13,783
14,737
15,570
17,408
19,372
18,371
16,367
21,346
22,340
20,336
24,267
23,266
26,232
25,216
29,208
27,199
30,199
28,195
34,173
33,156
32,147
35,143
37,140
39,139
31,132
36,123
40,116
38,108
44,100
48,93
41,93
42,91
47,87
50,80
43,77
58,75
55,73
45,72
46,69
52,68
57,66
53,65
49,64
54,61
59,60
61,56
56,55
66,55
60,53
63,52
51,51
64,45
62,43
67,42
69,42
68,40
65,38
74,36
76,34
72,33
73,32
75,28
70,26
79,26
77,25
78,21
71,18
87,14
86,14
85,13
82,12
88,11
80,11
84,11
81,10
83,8
89,8
91,6
92,4
94,3
96,2
90,2
95,2
93,1
