class_id,count
6_0,1784
8_0,1588
3_3,1342
3_8,936
4_3,919
0_1,886
0_2,833
0_4,802
1_2,773
2_11,742
1_1,685
3_12,667
4_8,643
1_4,635
1_6,600
2_2,549
0_7,533
0_9,529
1_10,521
0_10,515
4_12,514
1_5,507
1_7,504
0_5,499
2_4,490
0_6,483
14_11,440
2_1,416
0_14,404
2_5,396
1_9,376
2_9,374
1_14,364
2_42,364
9_27,359
0_17,352
0_13,350
1_17,322
0_20,312
1_13,299
2_10,298
7_16,290
0_18,283
1_22,278
1_18,268
1_20,266
0_21,266
2_7,252
0_15,241
10_34,239
0_19,238
0_22,235
0_23,234
2_14,233
1_15,231
1_21,230
2_18,222
2_13,221
2_63,217
3_36,209
2_17,199
1_23,188
1_29,175
0_28,173
2_24,172
6_24,168
4_36,167
0_29,167
0_39,166
0_16,165
2_6,163
5_1,162
15_11,161
0_35,160
3_19,160
0_49,158
0_38,157
3_26,154
0_26,153
1_35,153
1_19,151
1_39,147
0_31,147
0_52,145
0_33,145
5_5,140
11_5,139
9_31,132
7_43,132
1_38,131
4_15,131
0_32,130
13_54,130
10_45,130
1_28,128
10_5,126
3_46,125
13_48,123
9_22,121
11_0,119
0_58,117
3_15,115
2_39,114
4_46,114
17_24,113
1_44,113
1_40,113
10_28,110
0_44,110
3_23,110
18_9,110
21_92,109
0_30,109
1_52,108
0_40,108
9_38,107
1_31,106
12_6,106
10_16,105
3_6,105
5_2,104
1_25,104
7_41,104
7_30,104
0_24,103
1_24,101
2_29,101
12_48,100
4_19,100
17_65,99
8_24,99
1_58,98
4_6,98
5_4,97
1_16,97
1_33,97
10_71,96
0_54,95
0_25,95
0_41,95
19_16,94
5_7,94
44_22,94
0_66,94
1_60,92
0_43,92
1_26,90
7_51,89
1_32,88
2_21,87
0_88,87
0_37,87
4_70,85
3_70,84
0_53,84
2_20,82
0_67,82
0_62,82
10_53,80
39_25,80
0_57,79
3_21,78
0_45,78
0_48,78
1_37,78
4_23,77
0_79,77
7_32,77
0_50,76
1_50,75
22_67,75
13_26,74
5_54,73
4_21,73
0_60,72
11_7,72
1_66,72
1_67,70
7_76,70
9_45,69
0_56,69
13_49,68
21_20,67
1_30,67
1_49,67
0_93,66
2_50,66
20_7,66
5_41,64
22_28,63
5_19,62
0_80,62
11_2,62
30_53,61
18_25,61
0_61,61
19_41,61
1_80,61
1_47,60
0_84,60
17_0,60
3_40,60
4_40,60
1_45,60
4_26,60
1_61,59
34_5,59
0_59,58
11_18,58
0_97,58
9_64,58
0_51,58
0_75,58
0_47,57
22_25,56
10_76,56
6_44,56
2_23,56
5_33,56
10_121,55
5_23,54
19_30,54
9_47,54
47_25,53
1_43,53
3_90,52
1_62,52
5_36,52
0_73,52
0_103,52
0_86,51
2_58,51
6_114,51
30_57,51
7_72,51
5_14,51
1_97,50
1_56,50
1_84,50
5_16,49
0_64,49
0_96,49
1_79,49
10_47,49
51_25,49
28_25,49
10_94,49
3_113,48
9_75,48
5_26,48
58_4,48
28_32,48
7_69,48
0_81,47
2_35,47
11_10,47
1_91,46
0_72,46
7_37,46
5_6,46
0_83,46
5_21,45
5_32,45
7_83,45
10_30,45
0_68,44
1_96,44
1_51,44
18_17,44
0_78,44
6_46,44
0_87,43
1_109,43
5_13,43
9_55,43
5_28,42
62_9,42
9_59,42
15_15,42
11_28,42
0_69,42
1_87,41
7_56,41
0_130,41
5_34,41
10_68,41
1_57,40
11_81,40
53_111,40
50_25,39
27_78,39
3_50,39
20_27,39
7_57,39
4_113,39
0_98,39
5_15,39
0_34,39
0_55,39
11_21,39
29_5,39
15_29,39
60_27,39
5_31,38
3_31,38
26_44,38
16_34,38
0_109,38
1_74,38
1_103,38
5_10,38
5_38,37
0_102,37
4_90,37
0_104,37
5_18,36
0_136,36
5_27,36
1_98,36
11_19,36
19_51,35
0_76,35
14_5,35
0_77,35
0_91,35
27_22,35
7_49,35
10_55,35
5_81,34
8_46,34
2_66,34
1_88,34
38_149,34
5_35,34
26_15,34
0_100,34
16_55,34
11_23,34
10_56,33
7_74,33
2_62,33
0_85,33
